RMSE,fit_method
0.046755748278244,BOSC
0.0847723155944738,BOSC
0.0373485442441848,BOSC
0.019894221959978,BOSC
0.0564493883063522,BOSC
0.0612671745001932,BOSC
0.0618614586515531,BOSC
0.104135086273164,BOSC
0.0974801446507134,BOSC
0.0751938926079148,BOSC
0.0588526358805298,BOSC
0.0449907460963183,BOSC
0.00210035312821021,BOSC
0.0648870792504071,BOSC
0.0256778036873485,BOSC
0.0231145298108432,BOSC
0.0510348044532379,BOSC
0.00289518132192347,BOSC
0.111855623520038,BOSC
0.0866400009036884,BOSC
0.0956325530401713,BOSC
0.00771393523471916,BOSC
0.0183177190718032,BOSC
8.27994236344646e-06,BOSC
0.0231401675836031,BOSC
0.0789673789803068,BOSC
0.00957411028295597,BOSC
0.0345094768701299,BOSC
0.0253641646441392,BOSC
0.0281772579806296,BOSC
0.00137574280377415,BOSC
0.0851816395246357,BOSC
0.0549466369962656,BOSC
0.00957746383853252,BOSC
0.0625657401925565,BOSC
0.0204721494472579,BOSC
0.0069121611718102,BOSC
0.0832702049218444,BOSC
0.0355286154407223,BOSC
0.0234584090726323,BOSC
0.00808922118786722,BOSC
0.106143720432656,BOSC
0.012674164203108,BOSC
0.0278791990934891,BOSC
0.0623735051822615,BOSC
0.106921976427263,BOSC
0.00691012521961395,BOSC
0.06928429902831,BOSC
0.0742828466983015,BOSC
0.0886588644410647,BOSC
0.0857684970469032,BOSC
0.0451555191714213,BOSC
0.0380207391389065,BOSC
0.00965654378434345,BOSC
0.0688852633853111,BOSC
0.145186797788882,BOSC
0.0321800520364074,BOSC
0.0415848379906624,BOSC
0.12676141811112,BOSC
0.069237788463627,BOSC
0.035692504063578,BOSC
0.168067402669734,BOSC
0.00178943082656124,BOSC
0.0129022497693975,BOSC
0.0601454415304439,BOSC
0.0273793287946916,BOSC
0.00986401438484474,BOSC
0.00704537253462116,BOSC
0.00287016560293617,BOSC
0.052290683236869,BOSC
0.0290737896475543,BOSC
0.0311086571689153,BOSC
0.0364520774565478,BOSC
0.00342082905180572,BOSC
0.124632799706556,BOSC
0.048906004535772,BOSC
0.0437314471947066,BOSC
0.0979103174059811,BOSC
0.0540416698641734,BOSC
0.0230372477527571,BOSC
0.0498665263920544,BOSC
0.223924720056989,BOSC
0.0643344604351245,BOSC
0.023511831121617,BOSC
0.00449535527097066,BOSC
0.096681401118766,BOSC
0.00881846409368668,BOSC
0.0357485010036144,BOSC
0.0362675106171077,BOSC
0.144445406431155,BOSC
0.0363988849155337,BOSC
0.0350706332743211,BOSC
0.00933086203788869,BOSC
0.0579503902482065,BOSC
0.100006700338283,BOSC
0.0301399496497288,BOSC
0.0221930660920418,BOSC
0.0178352013484012,BOSC
0.0259432963383765,BOSC
0.0373960932496067,BOSC
0.0218127625507785,BOSC
0.0320574992874496,BOSC
0.0027532039450866,BOSC
0.0036319450351197,BOSC
0.026017438614179,BOSC
0.0584035584652431,BOSC
0.0306792506356038,BOSC
0.0971778163320888,BOSC
0.0426926452431333,BOSC
0.0240155031133545,BOSC
0.132478375179112,BOSC
0.017021580197827,BOSC
0.0277727840404551,BOSC
0.0534507632165099,BOSC
0.153485739460771,BOSC
0.0283280586703339,BOSC
0.0210655654876266,BOSC
0.0491159081291931,BOSC
0.0215162670910359,BOSC
0.0589443288448992,BOSC
0.04288651093519,BOSC
0.107288720036729,BOSC
0.0225530761615215,BOSC
0.016052658611751,BOSC
0.0369250178390573,BOSC
0.0821023517078601,BOSC
0.0231309908123883,BOSC
0.0450243227181762,BOSC
0.00369844612953056,BOSC
0.0353277251881708,BOSC
0.0565851364559441,BOSC
0.0444899956860843,BOSC
0.0256665379947807,BOSC
0.0114207960078492,BOSC
0.0934058554231757,BOSC
0.0152981343879815,BOSC
0.0201096201036548,BOSC
0.0284953872451493,BOSC
0.00792086762285808,BOSC
0.0758558433653267,BOSC
0.0259745487626038,BOSC
0.0270222289301328,BOSC
0.0150136390535765,BOSC
0.0412721640996223,BOSC
0.0414430206743646,BOSC
0.0299702423341194,BOSC
0.0195857317693421,BOSC
0.0694519629086366,BOSC
0.00392486902113756,BOSC
0.0533615950656231,BOSC
0.0118661649677654,BOSC
0.00767429559917221,BOSC
0.0489151177544621,BOSC
0.0281939835460321,BOSC
0.0743643335629211,BOSC
0.0229498274829571,BOSC
0.012098406596343,BOSC
0.00255721841318229,BOSC
0.0117385124276466,BOSC
