RMSE,condition
0.0263412154429847,BOSC
0.0208149782118165,BOSC
0.0162499807336874,BOSC
0.0734845531352795,BOSC
0.0309408549797905,BOSC
0.0663384065306413,BOSC
0.100081632719362,BOSC
0.0211145735626063,BOSC
0.0560694534539352,BOSC
0.0887831927275464,BOSC
0.0699472031738182,BOSC
0.104830621223251,BOSC
0.0371982631331962,BOSC
0.0221825142711195,BOSC
0.0521544883479698,BOSC
0.152914012418114,BOSC
0.00609897002638177,BOSC
0.0542662324799765,BOSC
0.0175715556429193,BOSC
0.0907271002341816,BOSC
0.0933984708276253,BOSC
0.0631487047248787,BOSC
0.0475536581608475,BOSC
0.0421363805599018,BOSC
0.0806144024525971,BOSC
0.0479757343864728,BOSC
0.0533787945416881,BOSC
0.0303727129245705,BOSC
0.0849559463012092,BOSC
0.0953955185982638,BOSC
0.00888665662328093,BOSC
0.0369197031218239,BOSC
0.100277678503624,BOSC
0.0840405667051396,BOSC
0.0948701467696393,BOSC
0.00309478880746944,BOSC
0.00636329487302905,BOSC
0.00425508410829508,BOSC
0.0167446059976196,BOSC
0.0398905356487322,BOSC
0.0208716134157981,BOSC
0.0210760016992142,BOSC
0.000839469144601005,BOSC
0.111014346301872,BOSC
0.0163377374170278,BOSC
0.00359486117337445,BOSC
0.0164504454883104,BOSC
0.0459045033334894,BOSC
0.0259601196997315,BOSC
0.0587315108931391,BOSC
0.00693318940815856,BOSC
0.0302887665822362,BOSC
0.0205633443422025,BOSC
0.105314657763827,BOSC
0.0313425143158342,BOSC
0.0928213996401726,BOSC
0.146535937350101,BOSC
0.0021351461893135,BOSC
0.0403800405228736,BOSC
0.0490340887767189,BOSC
0.0865071941628838,BOSC
0.0389841118997323,BOSC
0.0198369427192187,BOSC
0.0560524949166129,BOSC
0.0618299067118337,BOSC
0.0612232737186466,BOSC
0.106269432013949,BOSC
0.0984721763328786,BOSC
0.0760804146102719,BOSC
0.058666766509944,BOSC
0.0448651243550972,BOSC
0.00211191483796992,BOSC
0.0633195729266831,BOSC
0.0259124380841546,BOSC
0.0237126978107181,BOSC
0.0499912632934614,BOSC
0.00173666480164496,BOSC
0.112600128227568,BOSC
0.0858692964367077,BOSC
0.095258372469368,BOSC
0.00555580701437162,BOSC
0.0174855226377557,BOSC
0.00195988934548768,BOSC
0.0236172749980168,BOSC
0.0764839163248145,BOSC
0.00827890549639746,BOSC
0.0331804779139216,BOSC
0.0249457586873479,BOSC
0.0283075759390789,BOSC
0.0010983560767927,BOSC
0.0861281864899353,BOSC
0.053855472418761,BOSC
0.0102998983444698,BOSC
0.0604701606532906,BOSC
0.0192827417967335,BOSC
0.00634128974850518,BOSC
0.0867558240516386,BOSC
0.0367044174067433,BOSC
0.0254461841621645,BOSC
0.00928788291545212,BOSC
0.106276018149707,BOSC
0.0123943020800397,BOSC
0.0283479022699924,BOSC
0.0632895775660679,BOSC
0.109148065322425,BOSC
0.00691832458278721,BOSC
0.0704261233639427,BOSC
0.0742949575432092,BOSC
0.0873028828987302,BOSC
0.0854938089631986,BOSC
0.0460485106775831,BOSC
0.0380973826417395,BOSC
0.00977662750598471,BOSC
0.0683358369841618,BOSC
0.147122518569568,BOSC
0.0332987971775659,BOSC
0.0403600623472247,BOSC
0.126805324856443,BOSC
0.0681294675607432,BOSC
0.0363116987125784,BOSC
0.169364769131602,BOSC
0.000138003119979732,BOSC
0.0128193503202745,BOSC
0.0606772948929054,BOSC
0.0261205012093998,BOSC
0.00935599351587093,BOSC
0.00864981199490696,BOSC
0.00337877993748427,BOSC
0.0507549461322435,BOSC
0.0296145057456093,BOSC
0.0296249050981048,BOSC
0.038354223054598,BOSC
0.00194082775044777,BOSC
0.124016486464931,BOSC
0.0485651787645384,BOSC
0.0451059688652522,BOSC
0.0989429338318906,BOSC
0.0519816802668074,BOSC
0.0236222340740667,BOSC
0.0505158711355509,BOSC
0.226021992735436,BOSC
0.0636319984700667,BOSC
0.0233173050327077,BOSC
0.00451920368779744,BOSC
0.0944925296557156,BOSC
0.00896084125703615,BOSC
0.0350483469726592,BOSC
0.0355377890119724,BOSC
0.143792134695331,BOSC
0.0362036309233381,BOSC
0.0358298350423496,BOSC
0.00981902730482097,BOSC
0.0581775443277248,BOSC
0.100190276445068,BOSC
0.0291861357258605,BOSC
0.0226223884598773,BOSC
0.0174213069861028,BOSC
0.0256437903413258,BOSC
0.0343445977136293,BOSC
0.020963333496939,BOSC
0.0311055347606071,BOSC
0.004505849786157,BOSC
0.00446635580289152,BOSC
0.0263412814876521,BOSC
0.0582851731602897,BOSC
0.0318800633355691,BOSC
0.09775246875844,BOSC
0.0407141146742947,BOSC
0.023997831060511,BOSC
0.132062973284479,BOSC
0.0175186474007646,BOSC
0.0255660062419103,BOSC
0.0548846780356291,BOSC
0.155543215805079,BOSC
0.0295545800811575,BOSC
0.0221560595501521,BOSC
0.0499878039512159,BOSC
0.0205096152779256,BOSC
0.0606227906529756,BOSC
0.0438012730443435,BOSC
0.108909653762676,BOSC
0.0233398746603721,BOSC
0.0160706437104191,BOSC
0.0360352801468016,BOSC
0.0804519235941525,BOSC
