error_both,condition
0.0292986034380052,fixed
0.0305350572166545,fixed
0.0660927998597538,fixed
0.053792908058922,fixed
0.142787968770108,fixed
0.146656612648898,fixed
0.0307829665376251,fixed
0.0397131441836871,fixed
0.0690592760153642,fixed
0.0599852604234436,fixed
0.0680336315057372,fixed
0.103514490412531,fixed
0.0285050840090968,fixed
0.0284049882635242,fixed
0.036976866841275,fixed
0.0295415179290489,fixed
0.0748511853857956,fixed
0.11446076922797,fixed
0.0802113795570903,fixed
0.0346686633380854,fixed
0.0823630661626391,fixed
0.0510586676291424,fixed
0.12599619711439,fixed
0.0636129959491859,fixed
0.0974922415954243,fixed
0.0757993734486044,fixed
0.0851250273857019,fixed
0.0647823141864195,fixed
0.0598136575849057,fixed
0.0633438462226081,fixed
0.0668872668017046,fixed
0.055548658784198,fixed
0.051194338692596,fixed
0.0512441675997057,fixed
0.0243609373924135,fixed
0.0418020897718454,fixed
0.0327585932088176,fixed
0.0208508600869521,fixed
0.0656143945927724,fixed
0.0614932077697307,fixed
0.0310585882188282,fixed
0.176937290515045,fixed
0.0343204593370335,fixed
0.0187899133684455,fixed
0.0172688934168181,fixed
0.0171990185931902,fixed
0.0579590199644046,fixed
0.0513706924053006,fixed
0.0289950254628434,fixed
0.0261010453215802,fixed
0.0109246540030557,fixed
0.0144732975800617,fixed
0.0207764597284052,fixed
0.0279233461277003,fixed
0.0380426504594477,fixed
0.0245460993592835,fixed
0.0238775985627941,fixed
0.034423977511568,fixed
0.0304461937529607,fixed
0.0405979838201121,fixed
0.0360817853994304,fixed
0.0452726387761489,fixed
0.0335390287061006,fixed
0.0335386543531562,fixed
0.0304773319521576,fixed
0.0234428565858416,fixed
0.0247073291131451,fixed
0.012563277093753,fixed
0.0324533304200348,fixed
0.0379302088617738,fixed
0.0471433823333163,fixed
0.0972877584985334,fixed
0.0754557549950517,fixed
0.047982006285551,fixed
0.0330743677249844,fixed
0.0593335864293429,fixed
0.0218581259868081,fixed
0.0698582741823075,fixed
0.088278087810568,fixed
0.1066803341267,fixed
0.0711127726391912,fixed
0.0655639139407219,fixed
0.0742826094969479,fixed
0.0308066675449732,fixed
0.0317643254743335,fixed
0.0515607286892486,fixed
0.0367192967198697,fixed
0.0651037910167448,fixed
0.0409454656799319,fixed
0.0403187159260974,fixed
0.0523339496752284,fixed
0.054315742114985,fixed
0.0621145451598611,fixed
0.0441572665993511,fixed
0.0554023102014231,fixed
0.0845986648006197,fixed
0.0574463621164051,fixed
0.0702136391951667,fixed
0.0406233843033271,fixed
0.0601338855704675,fixed
